New Variable Categories,New Variable Subject,Unique,Variable Tables,Variable Subject,Collapse Category,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Locations,School,RHTS,Person-Level,School-related,School location,RHTS,SLOC,School Location (Home Schooled),"school_state |
school_lon |
school_lat |
school_county |
school_puma |
school_in_region |
school_bg |","School state (fips code) |
School longitude |
School latitude |
School county (fips code) |
School Public Use Microdata Area (PUMA) |
School in study region |
School block group |",,1,,,,,school_cms_zone,School CMS zone,,1,,,,,,,,,,"SLOC |
SNAME |
SADDR |
SXSTR |
SCITY |
SCITY_PL |
SCITY_MCD |
SSTAT |
SZIP |
SXCORD |
SYCORD |
STAZ |
STRACT |
SFIPS |","School Location (Home Schooled) |
School Name |
School Address |
School Cross Streets |
School City (TB) |
School City (Place Name) |
School City (MCD Place Name) |
School State |
School Zip |
School X Longitude (in WGS 84) |
School Y Latitude (in WGS 84) |
School Location TAZ (NYMTC) |
School Location Census Tract 2010 |
School Location County |",,1,,1,,,,
Locations,School,Smartphone Pilot,Person-Level,School-related,School location,Smartphone Pilot,student,Adult student status and location,student,Adult student status and location,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations,School,NYCDOT Mobility Survery,Person-Level,Survey-related,School location,NYCDOT Mobility Survery,missing_data,Missing data,,,,,,,,,"missing_school_location |
missing_work_location |
missing_home_location |","Missing school location |
Missing work location |
Missing home location |",1,1,,,,,,,,,,"MISSTRAN |
No_TAZ |","Missing Transit Information |
No TAZ flag for origin and destination |",,,,1,1,1,,
Trip Information,Network Attribute,NHTS,Person-Level,School-related,School location,NHTS,DISTTOSC17,"Road network distance, in miles, between respondent's home location and school location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,,,,,,,,,,,,,,,DISTTOSC17,"Road network distance, in miles, between respondent's home location and school location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,1,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Person-Level,Work-related,Telecommute,Smartphone Pilot,telework_freq,Typical telecommute frequency once COVID-19 measures have ended (instead of commuting to work that day),telework_freq,Typical telecommute frequency once COVID-19 measures have ended (instead of commuting to work that day),,,,,,,telework_freq,Telework frequency,,1,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 3 Surveys,Person-Level,Work-related,Telecommute,NYCDOT Mobility Survery,telecommute_time,Hours worked for pay yesterday from a remote location that is not at home,,,,,,,,,telecommute_time,Hours worked for pay yesterday from a remote location that is not at home,,,,1,,WRK_HOME,Work from Home,,2,,,TCHRS,Telecommute Hours,,,,,,,,
Trip Information,Purpose,Smartphone Pilot,Day-Level,General trip characteristics,Telecommute,Smartphone Pilot,telecommute_time,Time spent working at home or teleworking from anywhere for pay on travel day,telecommute_time,Time spent working at home or teleworking from anywhere for pay on travel day,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,Smartphone Pilot,Person-Level,Work-related,Telecommute,Smartphone Pilot,remote_work_freq,"Number of days teleworked last week from a location that was NOT home or typical workplace (e.g., coworking space, library, coffee shop)",remote_work_freq,"Number of days teleworked last week from a location that was NOT home or typical workplace (e.g., coworking space, library, coffee shop)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Locations,Work,In 2 Surveys,Person-Level,Work-related,Work location,Smartphone Pilot,work_location_comb,Work location variables,"work_location_type |
work_lon |
work_lat |
work_location_type_current |
work_bg |
work_county |
work_state |
work_puma |
work_in_region |","Work location once COVID-19 measures have ended |
Work longitude |
Work latitude |
Current work location |
Work block group |
Work county (fips code) |
Work state (fips code) |
Work Public Use Microdata Area (PUMA) |
Work in study region |",,1,,,,,"job_type |
WSTATE |
work_cms_zone |","Usual work location |
Work State |
Work CMS zone |",,1,,,,WKSTFIPS,The state FIPS code for the respondent's geocoded work address. The state FIPS codes were identified using United States Census Bureau 2016 TIGER/Line Shapefiles.,,1,,,"WLOC |
WXCORD |
WYCORD |
WFIPS |
EMPLR | O_EMPLR |
WNAME |
WADDR |
WXSTR |
WCITY |
WCITY_PL |
WCITY_MCD |
WZIP |
WTAZ |
WTRACT |","Work Location |
Work X Longitude (in WGS 84) |
Work Y Latitude (in WGS 84) |
Work Location |
Work X Longitude (in WGS 84) |
Work Y Latitude (in WGS 84) |
Work Location |
Work X Longitude (in WGS 84) |
Work Y Latitude (in WGS 84) |
Work Location County |
Employer | Other, Employer |
Name of Employer |
Work Address |
Work Cross Streets |
Work City (TB) |
Work City (Place Name) |
Work City (MCD Place Name) |
Work Zip |
Work Location TAZ (NYMTC) |
Work Location Census Tract (2010) |",,1,,,1,,,
Trip Information,Network Attribute,NHTS,Person-Level,Work-related,Work location,NHTS,DISTTOWK17,"Road network distance, in miles, between respondent's home location and work location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,,,,,,,,,,,,,,,DISTTOWK17,"Road network distance, in miles, between respondent's home location and work location, sourced using Google Distance Matrix API (https://maps.googleapis.com/maps/api/distancematrix/)",,1,,,,,,,,,,,,
Locations,Work,NHTS,Person-Level,Work-related,Work location,NHTS,WKFMHMXX,Count of Days Worked From Home in Last Month,,,,,,,,,,,,,,,,WKFMHMXX,Count of Days Worked From Home in Last Month,,1,,,,,,,,,,,,
Locations,Work,NHTS,Person-Level,Work-related,Work location,NHTS,WKRMHM,Option of Working from Home,,,,,,,,,,,,,,,,WKRMHM,Option of Working from Home,,1,,,,,,,,,,,,
Survey ID/Flag,ID,In 4 Surveys,Household-Level,Identifier,,Smartphone Pilot,hh_id,Household ID,hh_id,Household ID,1,1,1,1,1,,hh_id,Household ID,1,1,1,1,1,HOUSEID,Household Identifier,,,,,SAMPN,Household Identifier,1,1,1,1,1,1,1,1
Demographics,Household Size,In 4 Surveys,Household-Level,Household Characteristics,,Smartphone Pilot,num_people,Number of people in household,num_people,Number of people in household,1,,,,,,num_people,Household size,1,,,,,HHSIZE,Count of household members,1,1,1,1,HHSIZ,Household Size,1,,,,1,1,,
Demographics,Household Size,In 3 Surveys,Household-Level,Household Characteristics,,Smartphone Pilot,num_adults,Number of adults in household,num_adults,Number of adults in household,1,,,,,,num_adults,Number of adults in household,1,,,,,NUMADLT,Count of adult household members at least 18 years old,1,1,1,1,,,,,,,,,,
Demographics,Household Size,In 3 Surveys,Household-Level,Household Characteristics,,NYCDOT Mobility Survery,num_kids,Number of children in household,,,,,,,,,num_kids,Number of children in household,1,,,,,YOUNGCHILD,Count of persons with an age between 0 and 4 in household,2,,,,HHCHD,Number of Household Children (Computed),1,,,,,,,
Demographics,Mode Preference,In 4 Surveys,Household-Level,Household Characteristics,,Smartphone Pilot,vehicle_num,Vehicle number in household,vehicle_num,Vehicle number in household,,,1,,,,num_vehicles,Number of household vehicles,1,,,,,HHVEHCNT,Count of household vehicles,1,1,1,1,"VEHNO, HHVEH","Vehicle Number, Number of Household Vehicles",1,,1,1,1,1,,
Demographics,Mode Preference,In 2 Surveys,Household-Level,Household Characteristics,,Smartphone Pilot,num_bicycles,Number of bicycles in household,num_bicycles,Number of bicycles in household,1,,,,,,num_bicycles,Number of bicycles in household,1,,,,,,,,,,,,,,,,,,,,
Locations,Home,In 3 Surveys,Household-Level,Household Characteristics,,Smartphone Pilot,residence_type,Residence type,residence_type,Residence type,1,,,,,,res_type,Residence type,1,,,,,,,,,,,RESTY | O_RESTY,"Residence Type, ""Other, Residence Type""",1,,,,,,,
Locations,Home,In 3 Surveys,Household-Level,Household Characteristics,,Smartphone Pilot,residence_rent_own,residence_rent_own,residence_rent_own,Residence ownership status ,1,,,,,,rent_own,Home ownership status,1,,,,,HOMEOWN,Home Ownership,1,1,1,1,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Household-Level,Household Characteristics,,NYCDOT Mobility Survery,vehicle_change,Change in number of household vehicles in the past year,,,,,,,,,vehicle_change,Change in number of household vehicles in the past year,1,,,,,,,,,,,,,,,,,,,,
Survey ID/Flag,ID,In 4 Surveys,Person-Level,Identifier,,Smartphone Pilot,person_id,Person ID,person_id,Person ID,,1,,1,1,,person_id,Person ID,,,,1,1,HHRESP | PERSONID,Person identifier of household respondent | Person Identifier,1,1,1,1,"PSAMP, PERNO",Unique Person Identifier | Person Identifier,,1,,1,1,1,1,1
Demographics,Age,In 4 Surveys,Person-Level,Person characteristics,,Smartphone Pilot,age,Age,age,Age,,1,,,,,age,Age,,1,,,,R_AGE | R_AGE_IMP,Age | Age (imputed),,1,,1,AGE | AAGE,Age | Approximate Age,,1,,,,,,
Demographics,Gender,In 4 Surveys,Person-Level,Person characteristics,,Smartphone Pilot,gender,Gender,gender,Gender,,,,,,,gender,Gender,,,,,,R_SEX | R_SEX_IMP,Gender | Gender (imputed),,1,,1,GENDER,Gender,,1,,,,,,
Demographics,Education,In 3 Surveys,Person-Level,Person characteristics,,Smartphone Pilot,education,Highest level of education completed,education,Highest level of education completed,,1,,,,,education,Highest level of education completed,,1,,,,EDUC,Educational Attainment,,1,,1,,,,,,,,,,
Demographics,Relationships,In 4 Surveys,Person-Level,Person characteristics,,Smartphone Pilot,relationship,Relationship to household person number 1,relationship,Relationship to household person number 1,,1,,,,,relationship,Relationship to survey participant,,1,,,,R_RELAT,Relationship,,,,,RELAT,Relationship,,1,,,,,,
Demographics,School,In 4 Surveys,Person-Level,School-related,,Smartphone Pilot,student_status,Student status,student_status,Student status,,1,,,,,student,Student status,,1,,,,SCHTYP,Student Status,,1,,,STUDE,Student Status,,1,,,,,,
Demographics,Education,In 2 Surveys,Person-Level,School-related,,NYCDOT Mobility Survery,school_type,Type of school attends,,,,,,,,,school_type,Type of school attends,,1,,,,,,,,,,SCHOL | O_SCHOL,"Level of School | Other, Level of School",,1,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,School-related,,NYCDOT Mobility Survery,kid_accompany,Parent or guardian accompanies child/ren on their trip to school or daycare,,,,,,,,,kid_accompany,Parent or guardian accompanies child/ren on their trip to school or daycare,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,Smartphone Pilot,Person-Level,Typical travel behavior,,Smartphone Pilot,transit_pay,Method for paying for transit,transit_pay,Method for paying for transit,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,Typical travel behavior,,NYCDOT Mobility Survery,vehicle,Vehicle driven most often,,,,,,,,,vehicle,Vehicle driven most often,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 3 Surveys,Person-Level,Typical travel behavior,,Smartphone Pilot,share_services,Shared services used,"share_tnc |
share_carshare |
share_rental |
share_bikeshare |
share_commuter_van |
share_scooter |
share_moped |
share_none","Shared services used: Uber, Lyft, or other smartphone-app ride service |
Shared services used: Carshare (e.g., ZipCar) |
Shared services used: Peer-to-peer car rental (e.g., Turo) |
Shared services used: Bikeshare |
Shared services used: Commuter Van (dollar van) |
Shared services used: Scooter share (e.g., Bird, Lime) |
Shared services used: Moped share (e.g., Scoot) |
Shared services used: None",,1,,,,,"tnc_user |
car_share_user | 
car_share_zipcar | 
car_share_car2go |  
car_share_enterprise | 
car_share_other | 
car_share_none |
bike_share_user","Smartphone-app Ride Service User |
Car Share Service User | Member of a carsharing service: ZipCar | Member of a carsharing service: car2go | 
Member of a carsharing service: Enterprise Carshare | 
Member of a carsharing service: Other | 
Member of a carsharing service: None of the above | 
Bike Share Service User",,1,,,,BIKESHARE,Count of Bike Share Program Usage,1,,,,,,,,,,,,,
Demographics,Mode Preference,In 4 Surveys,Household-Level,Typical travel behavior,,NHTS,MODE_FREQ,Frequency of mode type,"carshare_freq |
transit_freq |","Frequency of using carshare (e.g., ZipCar) |
Transit use frequency |
Bicycle use frequency |
Frequency of using a bicycle from a bikeshare program |
Frequency of using Uber, Lyft, or similar app-based ride services |",,1,,,,,"bike_freq |
tnc_freq |
citi_bike_freq |
jump_freq |
lime_freq |","Frequency of riding a bicycle in one of the five boroughs of New York City in the past 12 months |
How often uses smartphone-app ride services (e.g., Lyft, Uber) |
How frequently uses Citi Bike |
How frequently uses Jump |
How frequently uses Lime |",,1,,,,"BUS |
CAR |
PARA | 
TRAIN |
WALK |
BIKE |
TAXI |","Frequency of Bus Use for Travel |
Frequency of Personal Vehicle Use for Travel |
Frequency of Paratransit Use for Travel |
Frequency of Train Use for Travel |
Frequency of Walking for Travel |
Frequency of Bicycle Use for Travel |
Frequency of Taxi Service or Rideshare Use for Travel |",1,,,,"FBKTS, FBKTW",Frequency of Bike Travel,,1,,,,,,
Demographics,Mode Preference,In 3 Surveys,Person-Level,Taxi/Smartphone-app ride service-related,,Smartphone Pilot,RIDESHARE,Count of Rideshare App Usage,,,,,,,,,,,,,,,,RIDESHARE,Count of Rideshare App Usage,1,,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,Taxi/Smartphone-app ride service-related,,NYCDOT Mobility Survery,tnc_use_uber | tnc_use_lyft | tnc_use_via | tnc_use_juno | tnc_use_none,Smartphone-app ride services used,,,,,,,,,tnc_use_uber | tnc_use_lyft | tnc_use_via | tnc_use_juno | tnc_use_none,"Smartphone-app ride services used: Uber | 
Smartphone-app ride services used: Lyft | 
Smartphone-app ride services used: Via | 
Smartphone-app ride services used: Juno | 
Smartphone-app ride services used: None of the above",,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Person-Level,Taxi/Smartphone-app ride service-related,,Smartphone Pilot,tnc_purp,Most common purpose of smartphone-app ride hailing trips,"tnc_purp | 
tnc_purp_other","Most common purpose of smartphone-app ride hailing trips | 
Most common purpose of smartphone-app ride hailing trips, other specify",,1,,,,,tnc_purpose,Most common purpose of trips made using smartphone-app ride services,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,Taxi/Smartphone-app ride service-related,,NYCDOT Mobility Survery,tnc_mode,Mode used before began using smartphone-app ride services,,,,,,,,,"tnc_mode | 
tnc_mode_auto | 
tnc_mode_scooter | 
""tnc_mode_taxi |
tnc_mode_bus |
tnc_mode_rail |
tnc_mode_ferry |
tnc_mode_bike","Primary mode used before began using smartphone-app ride services | 
Other vehicle used before began using smartphone-app ride services |
Moped or scooter used before began using smartphone-app ride services |
Taxi used before began using smartphone-app ride services |
Bus used before began using smartphone-app ride services |
Rail used before began using smartphone-app ride services |
Ferry used before began using smartphone-app ride services |
Bicycle used before began using smartphone-app ride services",,1,,,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 4 Surveys,Person-Level,Trip replacement behavior,,Smartphone Pilot,no_travel,Reason for no travel on travel day,"no_travel_made_trips |
no_travel_work |
no_travel_telework |
no_travel_home |
no_travel_weather |
no_travel_sick |
no_travel_delivery |
no_travel_remote_school |
no_travel_school_vacation |
no_travel_transportation |
no_travel_other | no_travel_made_trips","Reason for no travel on travel day: Did make trips on travel day | 
Reason for no travel on travel day: Not scheduled to work/took day off |
Reason for no travel on travel day: Worked at home for pay (e.g., telework, self-employed) |
Reason for no travel on travel day: Hung out around home |
Reason for no travel on travel day: Weather conditions (e.g., storm) |
Reason for no travel on travel day: Sick or quarantining (self or others) |
Reason for no travel on travel day: Waited for visitor/delivery (e.g., plumber) |
Reason for no travel on travel day: Kids attended school online/remotely or were homeschooled |
Reason for no travel on travel day: School was scheduled to be closed (e.g., vacation, holiday) |
Reason for no travel on travel day: No available transportation (no car or bus) |
Reason for no travel on travel day: Other reason |
Reason for no travel on travel day: Did make trips on travel day",,,,1,,,"no_travel_capture |
no_travel_no_work |
no_travel_telework |
no_travel_housework |
no_travel_weather |
no_travel_sick |
no_travel_delivery |
no_travel_homeschool |
no_travel_kids_break |
no_travel_no_transport |
no_travel_other |
no_travel_capture","Reason for no travel on travel day: Reason for no travel on travel day I did, but rMove didn't capture the trip(s) | 
Reason for no travel on travel day: Not scheduled to work/took day off | 
Reason for no travel on travel day: Worked at home for pay (e.g., telework, self-employed) |
Reason for no travel on travel day: Hung out or worked around home (unpaid) |
Reason for no travel on travel day: Weather conditions (e.g., storm) |
Reason for no travel on travel day: Was sick or was caring for another person |
Reason for no travel on travel day: Waited for a visitor or delivery (e.g., plumber) |
Reason for no travel on travel day: Kids were home-schooled |
Reason for no travel on travel day: Kids were on school vacation/break |
Reason for no travel on travel day: No available transportation (e.g., no car, no bus) |
Reason for no travel on travel day: Other reason |
Reason for no travel on travel day: Reason for no travel on travel day I did, but rMove didn't capture the trip(s)",,,,1,,SAMEPLC,Reason for No Trips,,1,,,"NOGO |
O_NOGO","Reason for No Trips | 
Other Reason for No Trips",,1,,,,,,
Demographics,Income,NYCDOT Mobility Survery,Person-Level,Person characteristics,,NYCDOT Mobility Survery,congestion,Opinion on congestion pricing,,,,,,,,,congestion,Opinion on congestion pricing,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Person-Level,Typical travel behavior,,Smartphone Pilot,drive_cbd_freq,Frequency of driving vehicle into or within the area of Manhattan south of 60th street,drive_cbd_freq,Frequency of driving vehicle into or within the area of Manhattan south of 60th street,,1,,,,,drive_cbd_freq,Frequency of driving vehicle into or within the area of Manhattan south of 60th Street,,1,,,,,,,,,,,,,,,,,,,
Survey ID/Flag,ID,In 3 Surveys,Vehicle-Level,Identifier,,NYCDOT Mobility Survery,vehicle_id,Unique ID assigned the provided vehicle.,,,,,,,,,vehicle_id,Unique ID assigned the provided vehicle.,,,1,,,VEHID,Household Vehicle Identifier Used on Trip,,,,,VSAMP,Vehicle Unique Identifier,,,1,,,,,
Demographics,Mode Preference,In 4 Surveys,Vehicle-Level,Vehicle-related,,Smartphone Pilot,vehic_char,Vehicle Characteristics,"year |
make |
model |
fuel_type |
vehicle_other_specify |
transponder |","Vehicle year |
Vehicle make |
Vehicle Model |
Fuel type |
Vehicle make and model, other specify |
Vehicle has toll transponder |",,,1,,,,year,Model year of vehicle,,,1,,,"VEHYEAR |
MAKE | O_MAKE |
MODEL |
FUELTYPE |
FEGEMPGA |
FEGEMPGF |
OD_READ |
HYBRID |
VEHAGE |
VEHOWNED |
VEHTYPE |
FEGEMPG |","Vehicle Year |
Vehicle Make | Other, Make of Vehicle |
Vehicle Model |
Type of Fuel |
Fuel Economy.gov 55/45 alternative fuel economy |
Flag for FEGEMPG |
Odometer Reading |
Hybrid vehicle |
Age of vehicle, based on model year |
Owned Vehicle Longer than a Year |
Vehicle Type |
Fuel Economy.gov EIA-Derived 55/45 fuel economy |",,,1,,"YEAR |
MAKE |
MODEL |
FUEL | O_FUEL |
BODY | O_BODY |","Year of Vehicle |
Make of Vehicle |
Model of Vehicle |
Type of Fuel | Other, Type of Fuel |
Body of Vehicle |Other, Body of Vehicle",,,1,,,,,
Locations,Parking,Smartphone Pilot,Vehicle-Level,Vehicle-related,,Smartphone Pilot,ev_outlet_share,Shares electric outlet with others who don't live in household,ev_outlet_share,Shares electric outlet with others who don't live in household,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Locations,Parking,Smartphone Pilot,Vehicle-Level,Vehicle-related,,Smartphone Pilot,ev_charge,Electric vehicle(s) in household charged on travel day,ev_charge,Electric vehicle(s) in household charged on travel day,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Mode,In 2 Surveys,Trip-Level,Taxi/Smartphone-app ride service-related,,Smartphone Pilot,tnc_type,Smartphone-app ride service used on trip,tnc_type,Smartphone-app ride service used on trip,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Mode,In 3 Surveys,Trip-Level,Taxi/Smartphone-app ride service-related,,Smartphone Pilot,taxi_pay,Taxi fare,taxi_pay,Taxi fare,,,,,,1,taxi_cost,Respondent knows cost of taxi fare,,,,,1,,,,,,,BPFAR,Transit Pass Cost,,,,1,1,1,,
Trip Information,Mode,In 2 Surveys,Trip-Level,Transit-related,,Smartphone Pilot,transit_access,Transit access mode,transit_access,Transit access mode,,,,,1,,transit_access,Access mode,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Mode,In 2 Surveys,Trip-Level,Transit-related,,Smartphone Pilot,transit_egress,Transit egress mode,transit_egress,Transit egress mode,,,,,1,,transit_egress,Egress mode,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Mode,In 3 Surveys,Trip-Level,Transit-related,,NYCDOT Mobility Survery,sustainable_mode,"Mode type is a sustainable mode (walk, bicycle, scooter/moped, or transit)",,,,,,,,,sustainable_mode,"Mode type is a sustainable mode (walk, bicycle, scooter/moped, or transit)",,,,,1,PUBTRANS,Public transportation used on trip,,,,1,O_SERVC | SERVC,"Other, Transit Service | Transit services",,,,1,1,1,,
Trip Information,Mode,Smartphone Pilot,Trip-Level,Micromobility-related,,Smartphone Pilot,micromobility_devices_scooter,Micromobility devices used by household: Scooter,micromobility_devices_scooter,Micromobility devices used by household: Scooter,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Route/Path,Smartphone Pilot,Trip-Level,General trip characteristics,,Smartphone Pilot,accuracy,Accuracy ,accuracy,Accuracy ,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Route/Path,Smartphone Pilot,Trip-Level,General trip characteristics,,Smartphone Pilot,bearing,Bearing,bearing,Bearing,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Timestamp,In 2 Surveys,Trip-Level,General trip characteristics,,Smartphone Pilot,collect_time,Timestamp collected at (US/Eastern time),collect_time,Timestamp collected at (US/Eastern time),,,,,1,,survey_complete_date,Date and Time Survey Completed,2,,,,,,,,,,,,,,,,,,,,
Trip Information,Mode,In 3 Surveys,Trip-Level,General trip characteristics,,Smartphone Pilot,speed_mph,Speed (mph),speed_mph,Speed (mph),,,,,1,,high_speed_flag,"Unusually high speed, given mode",,,,,2,,,,,,,SPEEDFLAG,Speed Check Flag,,,,2,,,,
Trip Information,Travelers,Smartphone Pilot,Trip-Level,General trip characteristics,,Smartphone Pilot,taxi_type,Who paid for trip,taxi_type,Who paid for trip,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Trip Information,Mode,In 2 Surveys,Trip-Level,General trip characteristics,,Smartphone Pilot,taxi_cost,Taxi fare amount,taxi_cost,Taxi fare amount,,,,,1,,taxi_cost_amount,Total taxi fare: Amount,,,,,1,,,,,,,,,,,,,,,,
Trip Information,Mode,Smartphone Pilot,Trip-Level,General trip characteristics,,Smartphone Pilot,transit_type,Transit fare payment method,transit_type,Transit fare payment method,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Vehicle-Level,Vehicle-related,,Smartphone Pilot,vehicle_ownership,Vehicle ownership status,vehicle_ownership,Vehicle ownership status,,,1,,,,,,,,,,,VEHOWNMO,Months of Vehicle Ownership,,,2,2,,,,,,,,,,
Locations,Parking,Smartphone Pilot,Vehicle-Level,Vehicle-related,,Smartphone Pilot,ev_network,EV charging networks subscribed to,"ev_network_chargepoint |
ev_network_tesla |
ev_network_blink |
ev_network_evgo |
ev_network_semaconnect |
ev_network_greenlots |
ev_network_none |
ev_network_other","EV charging networks subscribed to: ChargePoint |
EV charging networks subscribed to: Tesla |
EV charging networks subscribed to: Blink |
EV charging networks subscribed to: EVgo |
EV charging networks subscribed to: SemaConnect |
EV charging networks subscribed to: Greenlots |
EV charging networks subscribed to: None |
EV charging networks subscribed to: Other",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID/Flag,Timestamp,In 2 Surveys,Household-Level,Survey-related,,Smartphone Pilot,first_travel_date,Travel period start,first_travel_date,Travel period start,1,,,,,,first_travel_date,First travel date,1,1,,,,,,,,,,,,,,,,,,,
Survey ID/Flag,Timestamp,In 2 Surveys,Household-Level,Survey-related,,Smartphone Pilot,last_travel_date,Travel period end,last_travel_date,Travel period end,1,,,,,,last_travel_date,Last travel date,1,1,,,,,,,,,,,,,,,,,,,
Locations,Home,In 3 Surveys,Household-Level,Survey-related,,Smartphone Pilot,sample_segment,Sampling segment,sample_segment,Sampling segment,1,,,,,,,,,,,,,SAMPSTRAT,Primary Sampling Stratum Assignment,1,,,,BIN,Sampling Bin,1,,,,,,,
Trip Information,Tour/Day Information,Smartphone Pilot,Household-Level,Survey-related,,Smartphone Pilot,complete_day,Day completion status,"complete_mon |
complete_tue |
complete_wed |
complete_thu |
complete_fri |
complete_sat |
complete_sun","Monday completion status |
Tuesday completion status |
Wednesday completion status |
Thursday completion status |
Friday completion status |
Saturday completion status |
Sunday completion status",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,In 2 Surveys,Vehicle-Level,Bike-related,,Smartphone Pilot,bike_type,Bicycle type,"bike_type_standard |
bike_type_electric |
bike_type_other","Bicycle type: Standard bicycle |
Bicycle type: Electric bicycle |
Bicycle type: Other bicycle",1,,,,,,"bicycle_type_standard |
bicycle_type_electric |
bicycle_type_other","Bicycle type: Standard bicycle |
Bicycle type: Pedal-assist electric bicycle |
Bicycle type: Other",1,,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,NYCDOT Mobility Survery,Person-Level,Bike-related,,NYCDOT Mobility Survery,bike_stolen,Has had a bicycle stolen in New York City in the past year,,,,,,,,,bike_stolen,Has had a bicycle stolen in New York City in the past year,,1,,,,,,,,,,,,,,,,,,,
Demographics,Mode Preference,Smartphone Pilot,Vehicle-Level,Micromobility-related,,Smartphone Pilot,micromobility_devices,Micromobility devices used by household,"micromobility_devices_skateboard |
micromobility_devices_segway |
micromobility_devices_other |
micromobility_devices_none","Micromobility devices used by household: Skateboard or rollerblades |
Micromobility devices used by household: Segway |
Micromobility devices used by household: Other |
Micromobility devices used by household: None",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Survey ID/Flag,Timestamp,In 2 Surveys,Day-Level,General day characteristics,,Smartphone Pilot,day_num,Day number within travel period,day_num,Day number within travel period,,,,1,1,,day_num,Day number in a respondent's assigned travel period,,,,1,,,,,,,,,,,,,,,,,
Trip Information,Tour/Day Information,In 2 Surveys,Day-Level,General day characteristics,,Smartphone Pilot,travel_day,Travel day for respondent,travel_day,Travel day for respondent,,,,1,1,,,,,,,,,,,,,,,ASSN,Assigned Travel Day,2,,,,,,,
Trip Information,Tour/Day Information,In 3 Surveys,Day-Level,General day characteristics,,Smartphone Pilot,travel_date,Travel date,travel_date,Travel date,,,,1,1,,travel_date,Date of travel,,,,1,,TDAYDATE,Date of travel day (YYYYMM),1,1,1,1,,,,,,,,,,
Trip Information,Tour/Day Information,In 4 Surveys,Day-Level,General day characteristics,,Smartphone Pilot,travel_dow,Day of week,travel_dow,Day of week,,,,1,1,,travel_date_dow,Day of week,,,,1,,TRAVDAY,Travel day - day of week,1,1,1,1,DOW,Day of Week,1,,,,1,1,,
Trip Information,Tour/Day Information,In 2 Surveys,Day-Level,Survey-related,,Smartphone Pilot,num_complete_trip_surveys,Number of complete trip surveys on travel day,num_complete_trip_surveys,Number of complete trip surveys on travel day,,,,1,1,,num_complete_trip_surveys,Number of complete trip surveys,,,,1,,,,,,,,,,,,,,,,,
