Variable Categories,Variable Subject,Mother Variable Survey Origin,Mother - Variable,Mother - Label,Smartphone Pilot - Variable,Smartphone Pilot - Label,Smartphone-HH,Smartphone-Person,Smartphone-Vehicle,Smartphone-Day,Smartphone-Trip,Smartphone Pilot - Location,NYCDOT Mobility - Variable,NYCDOT Mobility - Label,NYCDOT-HH,NYCDOT-Person,NYCDOT-Vehicle,NYCDOT-Day,NYCDOT-Trip,NHTS - Variable,NHTS - Label,NHTS - HH,NHTS - PER,NHTS - VEH,NHTS - TRIP,RHTS - Variable,RHTS - Label,RHTS - HH_DELIV,RHTS - PER_DELIV,RHTS - VEH_DELIV,RHTS - PLACE_DELIV,RHTS - LINKEDTRIPS,RHTS - UNLINKEDTRIPS,RHTS - TOUR,RHTS - SUBTOUR
Vehicle-Level,Micromobility-related,None,micromobility_devices,Micromobility devices used by household,"micromobility_devices_skateboard |
micromobility_devices_segway |
micromobility_devices_other |
micromobility_devices_none","Micromobility devices used by household: Skateboard or rollerblades |
Micromobility devices used by household: Segway |
Micromobility devices used by household: Other |
Micromobility devices used by household: None",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,General day characteristics,Smartphone Pilot,day_num,Day number within travel period,day_num,Day number within travel period,,,,1,1,,day_num,Day number in a respondent's assigned travel period,,,,1,,,,,,,,,,,,,,,,,
Trip-Level,General day characteristics,Smartphone Pilot,travel_day,Travel day for respondent,travel_day,Travel day for respondent,,,,1,1,,,,,,,,,,,,,,,ASSN,Assigned Travel Day,2,,,,,,,
Trip-Level,General day characteristics,Smartphone Pilot,travel_date,Travel date,travel_date,Travel date,,,,1,1,,travel_date,Date of travel,,,,1,,TDAYDATE,Date of travel day (YYYYMM),1,1,1,1,,,,,,,,,,
Trip-Level,General day characteristics,Smartphone Pilot,travel_dow,Day of week,travel_dow,Day of week,,,,1,1,,travel_date_dow,Day of week,,,,1,,TRAVDAY,Travel day - day of week,1,1,1,1,DOW,Day of Week,1,,,,1,1,,
Trip-Level,Survey-related,Smartphone Pilot,num_complete_trip_surveys,Number of complete trip surveys on travel day,num_complete_trip_surveys,Number of complete trip surveys on travel day,,,,1,1,,num_complete_trip_surveys,Number of complete trip surveys,,,,1,,,,,,,,,,,,,,,,,
Day-Level,Survey-related,Smartphone Pilot,day_survey_complete,Daily survey complete,day_survey_complete,Daily survey complete,,,,1,1,,day_is_complete,Respondent completed all survey questions for that day,,,,1,,,,,,,,,,,,,,,,,
Day-Level,Survey-related,Smartphone Pilot,day_complete,Person day is complete,day_complete,Person day is complete,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Day-Level,Survey-related,Smartphone Pilot,hh_day_complete,Household day is complete,hh_day_complete,Household day is complete,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,ev_charge_start_time,Time plugged in electric vehicle to start charging,ev_charge_start_time,Time plugged in electric vehicle to start charging,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle-Level,Vehicle characteristics,Smartphone Pilot,ev_charge_duration,Electric vehicle charge duration,ev_charge_duration,Electric vehicle charge duration,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,Smartphone Pilot,attend_school,Traveled to school or daycare on travel day,attend_school,Traveled to school or daycare on travel day,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Trip-Level,Trip replacement behavior,None,attend_school_no,Reason for not attending school or day care on travel day,"attend_school_no_sick |
attend_school_no_online_home |
attend_school_no_online_other |
attend_school_no_school_vacation |
attend_school_no_weather |
attend_school_no_other","Reason for not attending school or day care on travel day: Was sick or quarantining |
Reason for not attending school or day care on travel day: Attended class online from home |
Reason for not attending school or day care on travel day: Attended class online from another location (e.g., friend’s) |
Reason for not attending school or day care on travel day: School was scheduled to be closed (e.g., vacation, holiday) |
Reason for not attending school or day care on travel day: School was closed or adjusted due to weather event (e.g., snow delay) |
Reason for not attending school or day care on travel day: Other",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Day-Level,General trip characteristics,Smartphone Pilot,made_travel,Made trips on travel day,made_travel,Made trips on travel day,,,,1,,,made_trips,Did the respondent make any trips on this day?,,1,,1,,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,Smartphone Pilot,telecommute_time,Time spent working at home or teleworking from anywhere for pay on travel day,telecommute_time,Time spent working at home or teleworking from anywhere for pay on travel day,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Day-Level,Delivery-related,Smartphone Pilot,shop_online,Purchased anything online on travel day,shop_online,Purchased anything online on travel day,,,,1,,,shop_online,Personally purchased anything online on travel day,,,,1,,,,,,,,,,,,,,,,,
Day-Level,Delivery-related,None,delivery,Delivery on travel day,"delivery_packages_home |
delivery_packages_work |
delivery_packages_other |
delivery_takeout |
delivery_groceries |
delivery_service |
delivery_other |
delivery_none","Delivery on travel day: Received packages at home |
Delivery on travel day: Received personal packages at work |
Delivery on travel day: Received packages at another location (e.g., Amazon locker, package pick-up point) |
Delivery on travel day: Prepared food delivered to home (e.g., take-out) |
Delivery on travel day: Groceries delivered to home |
Delivery on travel day: Someone came to do work at home (e.g., babysitter, housecleaning, lawn) |
Delivery on travel day: Other item delivered to home (e.g., appliance) |
Delivery on travel day: None",,,,1,,,"deliver_package_home |
deliver_package_work |
deliver_package_locker |
deliver_prepared |
deliver_food |
deliver_service |
deliver_other |
deliver_none","Travel day delivery: Received packages at home (e.g., FedEx, UPS, USPS) |
Travel day delivery: Received personal packages at work (e.g., FedEx, UPS, USPS) |
Travel day delivery: Received packages at another location (e.g., Amazon locker, Package pick-up point) |
Travel day delivery: Prepared food was delivered to home (e.g., take-out) |
Travel day delivery: Food was delivered to home (e.g., groceries) |
Travel day delivery: Someone came to home to do work (e.g., landscaping, plumber, housecleaning) |
Travel day delivery: Other item delivered to home |
Travel day delivery: None",,,,1,,,,,,,,,,,,,,,,,
Person-Level,Identifier,Smartphone Pilot,person_num,Person number within household,person_num,Person number within household,,1,,1,1,,person_num,Person number in household,,1,,1,1,,,,,,,,,,,,,,,,
Person-Level,Survey-related,Smartphone Pilot,person_complete,Person completion status,person_complete,Person completion status,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Survey-related,Smartphone Pilot,num_days_complete,Number of complete days,num_days_complete,Number of complete days,1,1,,,,,num_days_complete,Number of complete days,1,1,,,,,,,,,,,,,,,,,,,
Household-Level,Survey-related,Smartphone Pilot,hh_complete,Household is complete,hh_complete,Household is complete,,1,,,,,is_complete,Completion status,1,,,,,,,,,,,,,,,,,,,,
Day-Level,Survey-related,Smartphone Pilot,num_days,Number of travel days,num_days,Number of travel days,,1,,,,,num_days,Number of days of data collection,,1,,,,,,,,,,,,,,,,,,,
Day-Level,Survey-related,Smartphone Pilot,num_trips,Number of trips,num_trips,Number of trips,1,1,,1,,,"num_trips, CNTTDHH, CNTTDTR","Number of trips taken, Count of household trips on travel day, Count of person trips on travel day",2,2,,1,,,,,,,,"HTRIPS, PTRIPS","Total Number of Trips (Computed), Number of Trips",1,1,,,,,,
Person-Level,Person characteristics,Smartphone Pilot,second_home,"Regularly spends the night at a second home (e.g., another parent or grandparent’s house, partner or spouse’s home, or a vacation home)",second_home,"Regularly spends the night at a second home (e.g., another parent or grandparent’s house, partner or spouse’s home, or a vacation home)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,Smartphone Pilot,student,Adult student status and location,student,Adult student status and location,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,Smartphone Pilot,class_structure,Structure of in-person classes,class_structure,Structure of in-person classes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,Smartphone Pilot,remote_class_freq,"Number of days attended classes online last week from a location that was NOT home or school (e.g., friend’s home, mom’s work, library, coffee shop)",remote_class_freq,"Number of days attended classes online last week from a location that was NOT home or school (e.g., friend’s home, mom’s work, library, coffee shop)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,Smartphone Pilot,school_freq,Number of days traveled to school last week,school_freq,Number of days traveled to school last week,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_location_type_current,Current work location,work_location_type_current,Current work location,,1,,,,,job_type,Usual work location,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Person characteristics,Smartphone Pilot,occupation,Occupation,occupation,Occupation,,1,,,,,,,,,,,,,,,,,,"OCCUP, O_OCCUP","Occupation, ""Other, Occupation""",,,,,,,,
Person-Level,Work-related,Smartphone Pilot,remote_work_freq,"Number of days teleworked last week from a location that was NOT home or typical workplace (e.g., coworking space, library, coffee shop)",remote_work_freq,"Number of days teleworked last week from a location that was NOT home or typical workplace (e.g., coworking space, library, coffee shop)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_bg,Work block group,work_bg,Work block group,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_county,Work county (fips code),work_county,Work county (fips code),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_state,Work state (fips code),work_state,Work state (fips code),,1,,,,,WSTATE,Work State,,2,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_puma,Work Public Use Microdata Area (PUMA),work_puma,Work Public Use Microdata Area (PUMA),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_in_region,Work in study region,work_in_region,Work in study region,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_park_location,Parking location at work once COVID-19 measures have ended,work_park_location,Parking location at work once COVID-19 measures have ended,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_park_pay,Payment method for parking vehicle at work,work_park_pay,Payment method for parking vehicle at work,,1,,,,,work_park_pay,Typical way of paying for parking at work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_park_cost,Cost to park vehicle at work,work_park_cost,Cost to park vehicle at work,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,None,work_park_amount_per,Amount paid to park vehicle at work per,"work_park_amount_day |
work_park_amount_week |
work_park_amount_month |
work_park_amount_year","Amount paid to park vehicle at work per day |
Amount paid to park vehicle at work per week |
Amount paid to park vehicle at work per month |
Amount paid to park vehicle at work per year",,1,,,,,"work_park_amount_day |
work_park_amount_week |
work_park_amount_month |
work_park_amount_year","Amount paid to park at work per day |
Amount paid to park at work per week |
Amount paid to park at work per month |
Amount paid to park at work per year",,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,Smartphone Pilot,work_bike_park,Bicycle park location at work,work_bike_park,Bicycle park location at work,,1,,,,,work_bike_park,Bicycle parking location at work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,carshare_freq,|,carshare_freq,|,,1,,,,,,,,,,,,CARSHARE,Count of Car Share Program Usage,,1,,,,,,,,,,,,
Trip-Level,Bike-related,Smartphone Pilot,bikeshare_service,Bikeshare services used,"bikeshare_citi_bike |
bikeshare_jump |
bikeshare_lime |
bikeshare_none","Bikeshare services used: Citi Bike |
Bikeshare services used: Jump |
Bikeshare services used: Lime |
Bikeshare services used: None",,1,,,,,bike_share_citi_bike,Has ever used a bikeshare service: Citi Bike,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,share_work,For-hire services done for pay or credit,"share_work_tnc |
share_work_deliver_packages |
share_work_deliver_food |
share_work_rent_vehicle |
share_work_redistribute_bikes |
share_work_redistribute_scooters |
share_work_none","For-hire services done for pay or credit: Drive passengers for Uber, Lyft, or another smartphone-app ride service |
For-hire services done for pay or credit: Deliver packages for a smartphone-app service (e.g., AmazonFlex) |
For-hire services done for pay or credit: Deliver food/groceries for a smartphone-app service (e.g., DoorDash, UberEats) |
For-hire services done for pay or credit: Rent personal vehicle for money (e.g., Turo) |
For-hire services done for pay or credit: Redistribute bicycles for a bikeshare company |
For-hire services done for pay or credit: Redistribute scooters for a scooter share company |
For-hire services done for pay or credit: None",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,tnc_work_hours,Average hours per week drives for smartphone-app ride services,tnc_work_hours,Average hours per week drives for smartphone-app ride services,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,Smartphone Pilot,participate,Willing to participate in future transportation surveys,participate,Willing to participate in future transportation surveys,,1,,,,,,,,,,,,,,,,,,FUTUR,"If Contacted, Willingness to Participate Any Future Surveys",1,,,,,,,
Household-Level,Survey-related,NYCDOT Mobility Survery,weight,Household-person weight,,,,,,,,,weight,Household-person weight,1,1,1,,,"WTHHFIN, WTPERFIN","Final HH weight, Final Person weight",1,1,1,,HH_WHT2,Level 2 Weights,2,,2,2,2,2,2,2
Household-Level,Survey-related,NYCDOT Mobility Survery,"cms_zone, home_cms_zone, reported_home_cms_zone, Reported home CMS zone","Reported home CMS zone, Home CMS zone",,,,,,,,,"cms_zone, home_cms_zone, reported_home_cms_zone, Reported home CMS zone","Reported home CMS zone, Home CMS zone",1,1,1,1,1,,,,,,,,,,,,,,,,
Day-Level,Survey-related,NYCDOT Mobility Survery,survey_mode,The method in which the survey was taken,,,,,,,,,survey_mode,The method in which the survey was taken,1,1,1,1,1,,,,,,,,,,,,,,,,
Day-Level,General trip characteristics,NYCDOT Mobility Survery,trip_weight,Trip weight,,,,,,,,,trip_weight,Trip weight,,,,1,,WTTRDFIN,Final trip weight,,,,1,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,linked_trip_num,Linked trip number,,,,,,,,,linked_trip_num,Linked trip number,,,,,1,,,,,,,LTRIPNO,Linked trip Number,,,,,1,1,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,analyst_split,Analyst split trip,,,,,,,,,analyst_split,Analyst split trip,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,analyst_merge,Analyst merged trip,,,,,,,,,analyst_merge,Analyst merged trip,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,analyst_split_loop,Trip split due to loop,,,,,,,,,analyst_split_loop,Trip split due to loop,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,user_merged,User merged trip,,,,,,,,,user_merged,User merged trip,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,user_split,User split trip,,,,,,,,,user_split,User split trip,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,added_trip,Added trip,,,,,,,,,added_trip,Added trip,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,long_distance_flag,"Unusually long distance, given mode",,,,,,,,,long_distance_flag,"Unusually long distance, given mode",,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,invalid_purpose_flag,Non-worker / non-student has a work/school trip purpose,,,,,,,,,invalid_purpose_flag,Non-worker / non-student has a work/school trip purpose,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,o_purpose_imputed,Imputed activity at trip origin (recommend using this version of origin trip purpose),,,,,,,,,o_purpose_imputed,Imputed activity at trip origin (recommend using this version of origin trip purpose),,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,d_purpose_imputed,Imputed activity at trip destination (recommend using this version of destination trip purpose),,,,,,,,,d_purpose_imputed,Imputed activity at trip destination (recommend using this version of destination trip purpose),,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,o_purpose_category_imputed,Imputed category of activity at trip origin (recommend using this version of origin trip purpose category),,,,,,,,,o_purpose_category_imputed,Imputed category of activity at trip origin (recommend using this version of origin trip purpose category),,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,d_purpose_category_imputed,Imputed category of activity at destination origin (recommend using this version of destination trip purpose category),,,,,,,,,d_purpose_category_imputed,Imputed category of activity at destination origin (recommend using this version of destination trip purpose category),,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,d_distance_home,Distance from trip end to imputed home location in meters,,,,,,,,,d_distance_home,Distance from trip end to imputed home location in meters,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,d_distance_work,Distance from trip end to imputed work location in meters,,,,,,,,,d_distance_work,Distance from trip end to imputed work location in meters,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,d_distance_school,Distance from trip end to imputed school location in meters,,,,,,,,,d_distance_school,Distance from trip end to imputed school location in meters,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,o_location_type,Imputed location type for trip origin,,,,,,,,,o_location_type,Imputed location type for trip origin,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,d_location_type,Imputed location type for trip destination,,,,,,,,,d_location_type,Imputed location type for trip destination,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,o_congestion,Did the trip start in the congestion pricing zone south of 60th Street in Manhattan?,,,,,,,,,o_congestion,Did the trip start in the congestion pricing zone south of 60th Street in Manhattan?,,,,,1,,,,,,,,,,,,,,,,
Trip-Level,General trip characteristics,NYCDOT Mobility Survery,d_congestion,Did the trip end in the congestion pricing zone south of 60th Street in Manhattan?,,,,,,,,,d_congestion,Did the trip end in the congestion pricing zone south of 60th Street in Manhattan?,,,,,1,,,,,,,,,,,,,,,,
Day-Level,Survey-related,NYCDOT Mobility Survery,day_weight,Day weight,,,,,,,,,day_weight,Day weight,,,,1,,,,,,,,,,,,,,,,,
Day-Level,Survey-related,NYCDOT Mobility Survery,num_deleted_trips,Number of deleted trips,,,,,,,,,num_deleted_trips,Number of deleted trips,,,,1,,,,,,,,,,,,,,,,,
Person-Level,Survey-related,NYCDOT Mobility Survery,is_participant,Person is survey participant,,,,,,,,,is_participant,Person is survey participant,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Typical travel behavior,NYCDOT Mobility Survery,num_walk_trips,Number of walk trips,,,,,,,,,num_walk_trips,Number of walk trips,,1,,,,NWALKTRP,Count of Walk Trips,,1,,,,,,,,,,,,
Person-Level,Transit-related,NYCDOT Mobility Survery,num_transit_trips,Number of transit trips,,,,,,,,,num_transit_trips,Number of transit trips,,1,,,,PTUSED,Count of Public Transit Usage,,1,,,,,,,,,,,,
Person-Level,Bike-related,NYCDOT Mobility Survery,num_bike_trips,Number of bike trips,,,,,,,,,num_bike_trips,Number of bike trips,,1,,,,NBIKETRP,Count of Bike Trips,,1,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,NYCDOT Mobility Survery,num_taxi_trips,Number of taxi trips,,,,,,,,,num_taxi_trips,Number of taxi trips,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Taxi/Smartphone-app ride service-related,NYCDOT Mobility Survery,num_tnc_trips,Number of for-hire vehicle trips,,,,,,,,,num_tnc_trips,Number of for-hire vehicle trips,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Person characteristics,NYCDOT Mobility Survery,num_complete_weekend_days,Number of complete weekend days,,,,,,,,,num_complete_weekend_days,Number of complete weekend days,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Person characteristics,NYCDOT Mobility Survery,num_complete_weekdays,Number of complete weekdays,,,,,,,,,num_complete_weekdays,Number of complete weekdays,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Person characteristics,NYCDOT Mobility Survery,smartphone_type,Have/has a smartphone,,,,,,,,,smartphone_type,Have/has a smartphone,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,NYCDOT Mobility Survery,employment,Primary type of employment,,,,,,,,,employment,Primary type of employment,,1,,,,WKFTPT,Full-Time or Part-Time Worker,,2,,,,,,,,,,,,
Person-Level,Person characteristics,NYCDOT Mobility Survery,planning_apps,"Frequency of using trip planning apps, such as Google Maps, MTA Trip Planner, or Transit App to plan trips",,,,,,,,,planning_apps,"Frequency of using trip planning apps, such as Google Maps, MTA Trip Planner, or Transit App to plan trips",,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,NYCDOT Mobility Survery,work_cms_zone,Work CMS zone,,,,,,,,,work_cms_zone,Work CMS zone,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Work-related,NYCDOT Mobility Survery,missing_work_location,Missing work location,,,,,,,,,missing_work_location,Missing work location,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Parking-related,NYCDOT Mobility Survery,work_vehicle_pass_period,Work vehicle parking pass period,,,,,,,,,work_vehicle_pass_period,Work vehicle parking pass period,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Parking-related,NYCDOT Mobility Survery,work_scooter_park,Moped or scooter parking location at work,,,,,,,,,work_scooter_park,Moped or scooter parking location at work,,1,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,school_cms_zone,School CMS zone,,,,,,,,,school_cms_zone,School CMS zone,,1,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,missing_school_location,Missing school location,,,,,,,,,missing_school_location,Missing school location,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Parking-related,NYCDOT Mobility Survery,school_vehicle_pass_period,School vehicle parking pass time period,,,,,,,,,school_vehicle_pass_period,School vehicle parking pass time period,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Parking-related,NYCDOT Mobility Survery,school_bike_park,Bicycle parking location at school,,,,,,,,,school_bike_park,Bicycle parking location at school,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Bike-related,NYCDOT Mobility Survery,bike_num_days,Number of days have ridden a bike to get to and from places during the past 7 days,,,,,,,,,bike_num_days,Number of days have ridden a bike to get to and from places during the past 7 days,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Bike-related,NYCDOT Mobility Survery,bike_purpose,Reason for riding a bicycle,,,,,,,,,"bike_purpose_errands |
bike_purpose_transit |
bike_purpose_recreation |
bike_purpose_commute |
bike_purpose_appointment |
bike_purpose_other","Reason for riding a bicycle: To run errands |
Reason for riding a bicycle: To connect to/from public transportation |
Reason for riding a bicycle: For recreation/exercise |
Reason for riding a bicycle: To commute to work or school |
Reason for riding a bicycle: To get to an appointment (e.g. doctor, meeting, conference) |
Reason for riding a bicycle: Other",,1,,,,BIKE4EX,Count of Bike Trips for Exercise,,2,,,,,,,,,,,,
Person-Level,Bike-related,NYCDOT Mobility Survery,no_bike_nyc,Reason for not riding a bicycle in New York City,,,,,,,,,"no_bike_nyc_bike_lanes |
no_bike_nyc_paving |
no_bike_nyc_storage |
no_bike_nyc_long_trips |
no_bike_nyc_showers |
no_bike_nyc_modes |
no_bike_nyc_unable |
no_bike_nyc_other","Reason for not riding a bicycle in New York City: I don't feel safe due to lack of bike lanes |
Reason for not riding a bicycle in New York City: I don't feel safe due to poor street paving |
Reason for not riding a bicycle in New York City: I have nowhere to store my bike |
Reason for not riding a bicycle in New York City: The trips I take are too long for a bike |
Reason for not riding a bicycle in New York City: There aren't showers or lockers to use at my destination |
Reason for not riding a bicycle in New York City: I prefer using other modes |
Reason for not riding a bicycle in New York City: I am physically unable to ride a bike |
Reason for not riding a bicycle in New York City: Other",,1,,,,BIKE_DFR,Reason for Not Biking More: Infrastructure,,2,,,,,,,,,,,,
Person-Level,Bike-related,NYCDOT Mobility Survery,citi_bike_freq,How frequently uses Citi Bike,,,,,,,,,citi_bike_freq,How frequently uses Citi Bike,,1,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,jump_freq,How frequently uses Jump,,,,,,,,,jump_freq,How frequently uses Jump,,1,,,,,,,,,,,,,,,,,,,
Person-Level,School-related,NYCDOT Mobility Survery,lime_freq,How frequently uses Lime,,,,,,,,,lime_freq,How frequently uses Lime,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Bike-related,NYCDOT Mobility Survery,no_bike_share,Reason for not using a bikeshare service,,,,,,,,,"no_bike_share_unfamiliar |
no_bike_share_expensive |
no_bike_share_neighborhood |
no_bike_share_stations |
no_bike_share_personal_bike |
no_bike_share_docks |
no_bike_share_uncomfortable |
no_bike_share_other","Reason for not using a bikeshare service: I do not know what bike share services are |
Reason for not using a bikeshare service: Too expensive |
Reason for not using a bikeshare service: Not in my neighborhood |
Reason for not using a bikeshare service: Stations are too far from where I want to go |
Reason for not using a bikeshare service: Prefer to use my personal bicycle |
Reason for not using a bikeshare service: Docks are too often full or empty |
Reason for not using a bikeshare service: Do not feel comfortable biking |
Reason for not using a bikeshare service: Other",,1,,,,,,,,,,,,,,,,,,,
Person-Level,Delivery-related,NYCDOT Mobility Survery,packages,Package delivery location when not at home to receive them,,,,,,,,,packages,Package delivery location when not at home to receive them,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Delivery-related,NYCDOT Mobility Survery,packages_distance,Distance willing to travel to pick up packages,,,,,,,,,packages_distance,Distance willing to travel to pick up packages,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Travel experience-related,NYCDOT Mobility Survery,harassment,"Seen and/or experienced visual, verbal, or physical harassment/violence when traveling in the past week",,,,,,,,,harassment,"Seen and/or experienced visual, verbal, or physical harassment/violence when traveling in the past week",,1,,,,,,,,,,,,,,,,,,,
Person-Level,Travel experience-related,None,harassment_influence,How harassment has influenced travel behavior,,,,,,,,,"harassment_trip |
harassment_time |
harassment_route |
harassment_transit |
harassment_mode |
harassment_neighborhood |
harassment_private_car |
harassment_alone |
harassment_attention |
harassment_defense |
harassment_other |
harassment_none","How harassment has influenced travel behavior: They have affected my decision to make a trip |
How harassment has influenced travel behavior: I have changed my travel times and/or avoid traveling at night |
How harassment has influenced travel behavior: I have changed my route and/or avoid walking on certain streets |
How harassment has influenced travel behavior: I have reduced my use of public transport |
How harassment has influenced travel behavior: I have changed my mode of transport (e.g., bus, train, taxi, public or own bicycle, walking) |
How harassment has influenced travel behavior: I travel mainly within my neighborhood, where I know people and am known |
How harassment has influenced travel behavior: I prefer to travel in a private car |
How harassment has influenced travel behavior: I avoid traveling alone |
How harassment has influenced travel behavior: I pay more attention to my surroundings and other passengers |
How harassment has influenced travel behavior: I carry a personal defense weapon (e.g., pepper spray, sharp object) |
How harassment has influenced travel behavior: Other |
How harassment has influenced travel behavior: They have had no influence",,1,,,,,,,,,,,,,,,,,,,
Person-Level,Person characteristics,NYCDOT Mobility Survery,english_proficiency,English language proficiency,,,,,,,,,english_proficiency,English language proficiency,,1,,,,,,,,,,,,,,,,,,,
Person-Level,Survey-related,NYCDOT Mobility Survery,survey_language,Language survey was taken in ,,,,,,,,,survey_language,Language survey was taken in ,1,,,,,,,,,,,ILANG,Code Language of Interview,2,,,,,,,
Person-Level,Survey-related,NYCDOT Mobility Survery,missing_home_location,Missing home location,,,,,,,,,missing_home_location,Missing home location,1,,,,,,,,,,,,,,,,,,,,
